notification_id,equipment_id,created_date,notification_type,priority,status
N-00001,EQ-0054,2024-10-21,Preventive Request,Medium,Closed
N-00002,EQ-0033,2025-01-30,Preventive Request,Medium,Closed
N-00003,EQ-0064,2024-03-07,Inspection,Medium,Closed
N-00004,EQ-0041,2025-06-25,Condition Monitoring,Low,Closed
N-00005,EQ-0093,2025-12-29,Inspection,Low,Converted to Order
N-00006,EQ-0082,2025-11-26,Breakdown,Medium,Closed
N-00007,EQ-0001,2025-10-16,Preventive Request,Low,Closed
N-00008,EQ-0097,2025-02-22,Breakdown,Medium,Closed
N-00009,EQ-0046,2024-05-10,Condition Monitoring,Low,Closed
N-00010,EQ-0093,2024-04-19,Condition Monitoring,Low,Converted to Order
N-00011,EQ-0010,2025-10-09,Condition Monitoring,High,Closed
N-00012,EQ-0064,2026-03-06,Breakdown,Low,Closed
N-00013,EQ-0098,2024-05-02,Breakdown,Medium,Closed
N-00014,EQ-0023,2024-03-27,Preventive Request,Medium,Closed
N-00015,EQ-0013,2026-04-20,Condition Monitoring,Medium,Closed
N-00016,EQ-0057,2024-10-31,Breakdown,Medium,Closed
N-00017,EQ-0069,2024-05-11,Breakdown,Medium,Open
N-00018,EQ-0084,2025-11-19,Breakdown,Medium,Closed
N-00019,EQ-0085,2026-02-17,Preventive Request,Medium,Closed
N-00020,EQ-0031,2025-06-19,Preventive Request,Medium,Closed
N-00021,EQ-0026,2024-01-23,Condition Monitoring,Medium,Closed
N-00022,EQ-0066,2026-04-03,Inspection,Medium,Closed
N-00023,EQ-0075,2025-08-03,Breakdown,Emergency,Closed
N-00024,EQ-0096,2024-02-14,Breakdown,Medium,Closed
N-00025,EQ-0090,2025-07-10,Breakdown,Low,Closed
N-00026,EQ-0043,2026-01-06,Preventive Request,Medium,Converted to Order
N-00027,EQ-0011,2024-11-29,Breakdown,High,Open
N-00028,EQ-0033,2026-03-23,Condition Monitoring,Medium,Closed
N-00029,EQ-0080,2025-06-17,Breakdown,Medium,Closed
N-00030,EQ-0074,2024-04-03,Breakdown,High,Converted to Order
N-00031,EQ-0012,2025-01-13,Breakdown,Medium,Closed
N-00032,EQ-0094,2025-03-16,Breakdown,Medium,Closed
N-00033,EQ-0009,2025-06-03,Condition Monitoring,High,Closed
N-00034,EQ-0091,2026-06-17,Breakdown,Medium,Closed
N-00035,EQ-0031,2025-11-04,Breakdown,Low,Closed
N-00036,EQ-0010,2026-03-13,Inspection,Medium,Converted to Order
N-00037,EQ-0085,2026-03-07,Breakdown,Medium,Closed
N-00038,EQ-0080,2024-11-22,Breakdown,High,Closed
N-00039,EQ-0052,2024-03-21,Condition Monitoring,Medium,Closed
N-00040,EQ-0098,2026-06-20,Preventive Request,Low,Closed
N-00041,EQ-0020,2024-11-04,Breakdown,High,Closed
N-00042,EQ-0098,2024-06-18,Inspection,Medium,Converted to Order
N-00043,EQ-0032,2025-11-28,Condition Monitoring,Low,Closed
N-00044,EQ-0091,2025-06-20,Breakdown,Medium,Closed
N-00045,EQ-0038,2026-01-31,Preventive Request,Medium,Closed
N-00046,EQ-0041,2024-04-20,Condition Monitoring,Medium,Closed
N-00047,EQ-0025,2024-10-30,Breakdown,Low,Closed
N-00048,EQ-0096,2024-07-08,Breakdown,Emergency,Converted to Order
N-00049,EQ-0006,2025-12-25,Inspection,Medium,Closed
N-00050,EQ-0040,2025-02-21,Breakdown,High,Closed
N-00051,EQ-0099,2026-02-10,Breakdown,Medium,Closed
N-00052,EQ-0042,2024-06-21,Breakdown,Medium,Closed
N-00053,EQ-0088,2024-09-07,Breakdown,High,Closed
N-00054,EQ-0003,2025-05-06,Preventive Request,Medium,Closed
N-00055,EQ-0032,2026-02-08,Inspection,Medium,Closed
N-00056,EQ-0029,2024-07-18,Inspection,Medium,Open
N-00057,EQ-0029,2024-06-24,Breakdown,Medium,Closed
N-00058,EQ-0051,2025-05-18,Inspection,Medium,Closed
N-00059,EQ-0069,2024-01-29,Breakdown,Medium,Closed
N-00060,EQ-0017,2025-03-24,Inspection,Low,Converted to Order
N-00061,EQ-0083,2024-11-08,Breakdown,Low,Closed
N-00062,EQ-0065,2025-11-16,Breakdown,High,Closed
N-00063,EQ-0066,2026-05-13,Inspection,Medium,Closed
N-00064,EQ-0042,2024-08-23,Condition Monitoring,Medium,Closed
N-00065,EQ-0022,2025-06-29,Condition Monitoring,Medium,Closed
N-00066,EQ-0068,2024-01-25,Breakdown,High,Closed
N-00067,EQ-0093,2025-09-29,Breakdown,High,Closed
N-00068,EQ-0009,2025-06-10,Condition Monitoring,Low,Closed
N-00069,EQ-0022,2024-06-25,Breakdown,Low,Closed
N-00070,EQ-0033,2026-06-03,Breakdown,High,Closed
