maintenance_order_id,spare_part_id,quantity,material_cost
MO-00001,SP-006,3,525
MO-00002,SP-008,3,285
MO-00003,SP-002,1,210
MO-00003,SP-015,3,3750
MO-00004,SP-011,3,420
MO-00005,SP-012,3,570
MO-00006,SP-003,2,130
MO-00006,SP-007,3,480
MO-00008,SP-015,1,1250
MO-00008,SP-013,1,55
MO-00009,SP-004,3,135
MO-00009,SP-001,3,255
MO-00010,SP-001,1,85
MO-00010,SP-011,1,140
MO-00011,SP-009,3,54
MO-00011,SP-007,1,160
MO-00013,SP-008,1,95
MO-00014,SP-008,2,190
MO-00014,SP-013,3,165
MO-00016,SP-005,3,360
MO-00017,SP-009,2,36
MO-00017,SP-008,1,95
MO-00017,SP-002,1,210
MO-00018,SP-004,3,135
MO-00019,SP-012,2,380
MO-00019,SP-006,3,525
MO-00021,SP-015,3,3750
MO-00022,SP-003,3,195
MO-00022,SP-005,3,360
MO-00023,SP-013,1,55
MO-00023,SP-004,1,45
MO-00023,SP-007,2,320
MO-00024,SP-011,3,420
MO-00024,SP-007,2,320
MO-00024,SP-004,3,135
MO-00025,SP-007,3,480
MO-00026,SP-006,1,175
MO-00027,SP-004,2,90
MO-00029,SP-015,1,1250
MO-00029,SP-011,3,420
MO-00029,SP-008,3,285
MO-00030,SP-007,1,160
MO-00030,SP-006,1,175
MO-00030,SP-004,1,45
MO-00031,SP-005,1,120
MO-00031,SP-004,1,45
MO-00033,SP-015,2,2500
MO-00034,SP-003,3,195
MO-00034,SP-010,3,96
MO-00035,SP-006,2,350
MO-00035,SP-009,3,54
MO-00038,SP-010,2,64
MO-00038,SP-014,2,260
MO-00039,SP-001,1,85
MO-00043,SP-008,1,95
MO-00043,SP-012,3,570
MO-00044,SP-011,2,280
MO-00044,SP-006,3,525
MO-00045,SP-007,1,160
MO-00045,SP-002,2,420
MO-00045,SP-013,2,110
MO-00046,SP-009,3,54
MO-00046,SP-005,2,240
MO-00048,SP-009,1,18
MO-00048,SP-005,3,360
MO-00049,SP-008,3,285
MO-00049,SP-011,3,420
MO-00049,SP-003,1,65
MO-00050,SP-012,3,570
MO-00050,SP-014,1,130
MO-00050,SP-013,1,55
MO-00051,SP-011,2,280
MO-00052,SP-004,3,135
MO-00052,SP-007,3,480
MO-00053,SP-006,2,350
MO-00054,SP-007,3,480
MO-00055,SP-009,1,18
MO-00055,SP-012,2,380
MO-00056,SP-006,3,525
MO-00056,SP-015,3,3750
MO-00056,SP-013,3,165
MO-00057,SP-001,2,170
MO-00057,SP-002,3,630
MO-00058,SP-005,1,120
MO-00058,SP-010,2,64
MO-00058,SP-007,1,160
MO-00059,SP-015,2,2500
MO-00059,SP-013,1,55
MO-00059,SP-014,2,260
MO-00063,SP-006,3,525
MO-00063,SP-004,1,45
MO-00064,SP-008,3,285
MO-00066,SP-007,2,320
MO-00066,SP-006,2,350
MO-00066,SP-008,2,190
MO-00067,SP-002,1,210
MO-00067,SP-011,2,280
MO-00070,SP-014,3,390
MO-00070,SP-009,2,36
MO-00072,SP-004,3,135
MO-00072,SP-009,3,54
MO-00072,SP-002,2,420
MO-00074,SP-004,3,135
MO-00074,SP-006,1,175
MO-00074,SP-008,3,285
MO-00075,SP-002,1,210
MO-00076,SP-014,1,130
MO-00077,SP-007,1,160
MO-00077,SP-008,1,95
MO-00077,SP-002,2,420
MO-00079,SP-010,2,64
MO-00079,SP-014,2,260
MO-00079,SP-012,2,380
MO-00080,SP-004,3,135
MO-00080,SP-009,3,54
MO-00080,SP-010,1,32
MO-00081,SP-008,1,95
MO-00081,SP-013,1,55
MO-00083,SP-014,2,260
MO-00083,SP-008,3,285
MO-00085,SP-015,2,2500
MO-00089,SP-008,1,95
MO-00091,SP-005,2,240
MO-00091,SP-002,3,630
MO-00093,SP-015,3,3750
MO-00093,SP-007,3,480
MO-00094,SP-014,1,130
MO-00094,SP-013,2,110
MO-00095,SP-004,2,90
MO-00096,SP-012,3,570
MO-00097,SP-013,1,55
MO-00099,SP-014,1,130
MO-00099,SP-010,3,96
MO-00101,SP-015,2,2500
MO-00103,SP-007,1,160
MO-00104,SP-014,1,130
MO-00104,SP-001,2,170
MO-00105,SP-005,1,120
MO-00105,SP-014,2,260
MO-00108,SP-014,3,390
MO-00108,SP-003,2,130
MO-00112,SP-011,2,280
MO-00112,SP-003,2,130
MO-00114,SP-008,3,285
MO-00116,SP-001,2,170
MO-00117,SP-015,3,3750
MO-00117,SP-005,3,360
MO-00117,SP-001,1,85
MO-00118,SP-002,3,630
MO-00119,SP-013,3,165
MO-00119,SP-014,3,390
MO-00119,SP-004,1,45
MO-00120,SP-006,1,175
MO-00120,SP-002,2,420
MO-00121,SP-006,3,525
MO-00121,SP-011,2,280
MO-00122,SP-005,3,360
MO-00123,SP-012,1,190
MO-00123,SP-008,1,95
MO-00125,SP-013,2,110
MO-00126,SP-013,3,165
MO-00127,SP-002,2,420
MO-00127,SP-006,3,525
MO-00129,SP-005,2,240
MO-00129,SP-006,3,525
MO-00130,SP-014,2,260
MO-00131,SP-009,1,18
MO-00132,SP-011,1,140
MO-00132,SP-001,3,255
MO-00133,SP-001,1,85
MO-00135,SP-007,2,320
MO-00135,SP-005,3,360
MO-00136,SP-005,2,240
MO-00136,SP-002,3,630
MO-00137,SP-005,3,360
MO-00137,SP-001,1,85
MO-00138,SP-012,3,570
MO-00142,SP-015,2,2500
MO-00142,SP-013,1,55
MO-00144,SP-011,3,420
MO-00145,SP-012,3,570
MO-00146,SP-012,3,570
MO-00146,SP-006,2,350
MO-00148,SP-010,3,96
MO-00148,SP-008,3,285
MO-00149,SP-004,1,45
MO-00149,SP-002,3,630
MO-00149,SP-015,2,2500
MO-00150,SP-012,2,380
MO-00150,SP-004,2,90
MO-00151,SP-013,1,55
MO-00155,SP-015,3,3750
MO-00155,SP-013,3,165
MO-00155,SP-008,2,190
MO-00156,SP-005,1,120
MO-00158,SP-005,3,360
MO-00158,SP-013,3,165
MO-00158,SP-008,2,190
MO-00159,SP-002,3,630
MO-00160,SP-008,2,190
MO-00161,SP-006,3,525
MO-00161,SP-004,1,45
