maintenance_order_id,notification_id,equipment_id,technician_id,order_date,maintenance_type,priority,status,labour_hours,downtime_hours,labour_cost,material_cost,total_cost
MO-00001,N-00001,EQ-0054,T-008,2024-10-21,Preventive,Medium,Completed,11.67,0.0,641.69,525.0,1166.69
MO-00002,N-00002,EQ-0033,T-015,2025-02-02,Preventive,Medium,Completed,5.76,0.0,316.71,285.0,601.71
MO-00003,N-00003,EQ-0064,T-004,2024-03-10,Preventive,Medium,Completed,6.86,0.0,377.32,3960.0,4337.32
MO-00004,N-00004,EQ-0041,T-021,2025-06-28,Preventive,Low,Completed,6.38,0.0,268.12,420.0,688.12
MO-00005,N-00005,EQ-0093,T-022,2025-12-31,Preventive,Low,Completed,2.86,0.0,91.54,570.0,661.54
MO-00006,N-00006,EQ-0082,T-005,2025-11-29,Corrective,Medium,Closed,2.34,14.13,128.45,610.0,738.45
MO-00007,N-00007,EQ-0001,T-013,2025-10-16,Preventive,Low,Completed,9.44,0.0,519.47,0.0,519.47
MO-00008,N-00008,EQ-0097,T-004,2025-02-24,Corrective,Medium,Open,4.75,7.7,261.42,1305.0,1566.42
MO-00009,N-00009,EQ-0046,T-009,2024-05-10,Preventive,Low,Completed,1.53,0.0,84.01,390.0,474.01
MO-00010,N-00010,EQ-0093,T-004,2024-04-19,Preventive,Low,Completed,2.31,0.0,126.83,225.0,351.83
MO-00011,N-00011,EQ-0010,T-012,2025-10-11,Preventive,High,Closed,2.79,0.0,89.12,214.0,303.12
MO-00012,N-00012,EQ-0064,T-004,2026-03-08,Corrective,Low,Completed,5.44,7.32,299.38,0.0,299.38
MO-00013,N-00013,EQ-0098,T-020,2024-05-03,Corrective,Medium,Completed,3.12,0.68,171.51,95.0,266.51
MO-00014,N-00014,EQ-0023,T-010,2024-03-29,Preventive,Medium,Completed,4.35,0.0,239.36,355.0,594.36
MO-00015,N-00015,EQ-0013,T-003,2026-04-22,Preventive,Medium,Completed,8.38,0.0,351.87,0.0,351.87
MO-00016,N-00016,EQ-0057,T-025,2024-11-01,Corrective,Medium,Closed,16.08,3.14,514.5,360.0,874.5
MO-00017,N-00017,EQ-0069,T-025,2024-05-13,Corrective,Medium,Completed,2.06,10.14,65.88,341.0,406.88
MO-00018,N-00018,EQ-0084,T-028,2025-11-19,Corrective,Medium,Completed,0.5,3.67,16.0,135.0,151.0
MO-00019,N-00019,EQ-0085,T-011,2026-02-19,Preventive,Medium,Completed,6.19,0.0,197.98,905.0,1102.98
MO-00020,N-00020,EQ-0031,T-010,2025-06-20,Preventive,Medium,Completed,2.45,0.0,134.63,0.0,134.63
MO-00021,N-00021,EQ-0026,T-027,2024-01-24,Preventive,Medium,Completed,1.31,0.0,41.81,3750.0,3791.81
MO-00022,N-00022,EQ-0066,T-004,2026-04-06,Preventive,Medium,Completed,5.06,0.0,278.52,555.0,833.52
MO-00023,N-00023,EQ-0075,T-017,2025-08-04,Corrective,Emergency,Open,9.27,7.99,509.97,420.0,929.97
MO-00024,N-00024,EQ-0096,T-026,2024-02-14,Corrective,Medium,Completed,3.16,3.44,173.87,875.0,1048.87
MO-00025,N-00025,EQ-0090,T-021,2025-07-12,Corrective,Low,Completed,1.81,4.51,76.13,480.0,556.13
MO-00026,N-00026,EQ-0043,T-007,2026-01-07,Preventive,Medium,Open,4.84,0.0,203.09,175.0,378.09
MO-00027,N-00027,EQ-0011,T-020,2024-12-02,Corrective,High,Completed,3.4,5.53,187.09,90.0,277.09
MO-00028,N-00028,EQ-0033,T-009,2026-03-23,Preventive,Medium,Completed,15.81,0.0,869.7,0.0,869.7
MO-00029,N-00029,EQ-0080,T-010,2025-06-20,Corrective,Medium,Completed,10.41,3.86,572.58,1955.0,2527.58
MO-00030,N-00030,EQ-0074,T-016,2024-04-04,Corrective,High,Completed,2.05,5.37,112.66,380.0,492.66
MO-00031,N-00031,EQ-0012,T-026,2025-01-16,Corrective,Medium,Completed,0.5,5.21,27.5,165.0,192.5
MO-00032,N-00032,EQ-0094,T-015,2025-03-16,Corrective,Medium,Completed,1.1,9.43,60.5,0.0,60.5
MO-00033,N-00033,EQ-0009,T-017,2025-06-06,Preventive,High,Completed,4.37,0.0,240.19,2500.0,2740.19
MO-00034,N-00034,EQ-0091,T-019,2026-06-17,Corrective,Medium,Completed,0.92,8.64,50.48,291.0,341.48
MO-00035,N-00035,EQ-0031,T-005,2025-11-07,Corrective,Low,Completed,4.1,1.78,225.66,404.0,629.66
MO-00036,N-00036,EQ-0010,T-005,2026-03-15,Preventive,Medium,Completed,3.98,0.0,219.02,0.0,219.02
MO-00037,N-00037,EQ-0085,T-021,2026-03-10,Corrective,Medium,Completed,5.0,1.89,210.2,0.0,210.2
MO-00038,N-00038,EQ-0080,T-027,2024-11-24,Corrective,High,Completed,1.73,3.85,55.47,324.0,379.47
MO-00039,N-00039,EQ-0052,T-028,2024-03-24,Preventive,Medium,Closed,10.04,0.0,321.3,85.0,406.3
MO-00040,N-00040,EQ-0098,T-019,2026-06-21,Preventive,Low,Completed,3.35,0.0,184.42,0.0,184.42
MO-00041,N-00041,EQ-0020,T-015,2024-11-05,Corrective,High,Completed,4.59,1.52,252.19,0.0,252.19
MO-00042,N-00042,EQ-0098,T-005,2024-06-19,Preventive,Medium,Open,0.75,0.0,41.07,0.0,41.07
MO-00043,N-00044,EQ-0091,T-012,2025-06-20,Corrective,Medium,Completed,3.48,4.09,111.32,665.0,776.32
MO-00044,N-00046,EQ-0041,T-018,2024-04-20,Preventive,Medium,Completed,7.94,0.0,333.42,805.0,1138.42
MO-00045,N-00047,EQ-0025,T-006,2024-10-30,Corrective,Low,Completed,4.56,7.47,145.92,690.0,835.92
MO-00046,N-00048,EQ-0096,T-010,2024-07-08,Corrective,Emergency,Completed,5.8,4.26,319.22,294.0,613.22
MO-00047,N-00049,EQ-0006,T-027,2025-12-28,Preventive,Medium,Completed,1.43,0.0,45.74,0.0,45.74
MO-00048,N-00050,EQ-0040,T-028,2025-02-21,Corrective,High,Completed,5.78,4.07,184.82,378.0,562.82
MO-00049,N-00051,EQ-0099,T-030,2026-02-11,Corrective,Medium,Completed,9.47,14.11,520.9,770.0,1290.9
MO-00050,N-00052,EQ-0042,T-005,2024-06-23,Corrective,Medium,Completed,1.62,9.31,89.09,755.0,844.09
MO-00051,N-00053,EQ-0088,T-007,2024-09-09,Corrective,High,Completed,8.85,5.58,371.88,280.0,651.88
MO-00052,N-00054,EQ-0003,T-026,2025-05-09,Preventive,Medium,Completed,4.64,0.0,255.22,615.0,870.22
MO-00053,N-00055,EQ-0032,T-014,2026-02-10,Preventive,Medium,Completed,5.66,0.0,181.12,350.0,531.12
MO-00054,N-00056,EQ-0029,T-004,2024-07-21,Preventive,Medium,Completed,3.78,0.0,207.85,480.0,687.85
MO-00055,N-00057,EQ-0029,T-030,2024-06-25,Corrective,Medium,Completed,3.24,5.86,178.14,398.0,576.14
MO-00056,N-00059,EQ-0069,T-028,2024-01-31,Corrective,Medium,Completed,6.74,8.01,215.71,4440.0,4655.71
MO-00057,N-00060,EQ-0017,T-026,2025-03-24,Preventive,Low,Completed,4.34,0.0,238.84,800.0,1038.84
MO-00058,N-00061,EQ-0083,T-017,2024-11-08,Corrective,Low,Completed,4.44,12.72,244.41,344.0,588.41
MO-00059,N-00062,EQ-0065,T-025,2025-11-16,Corrective,High,Completed,4.67,3.6,149.35,2815.0,2964.35
MO-00060,N-00063,EQ-0066,T-022,2026-05-14,Preventive,Medium,Completed,0.79,0.0,25.4,0.0,25.4
MO-00061,N-00064,EQ-0042,T-016,2024-08-23,Preventive,Medium,Completed,6.48,0.0,356.19,0.0,356.19
MO-00062,N-00065,EQ-0022,T-015,2025-07-02,Preventive,Medium,Closed,13.05,0.0,717.55,0.0,717.55
MO-00063,N-00066,EQ-0068,T-028,2024-01-25,Corrective,High,Completed,15.12,3.16,483.79,570.0,1053.79
MO-00064,N-00067,EQ-0093,T-002,2025-09-29,Corrective,High,Closed,2.19,7.46,91.79,285.0,376.79
MO-00065,N-00068,EQ-0009,T-020,2025-06-10,Preventive,Low,Open,2.39,0.0,131.66,0.0,131.66
MO-00066,N-00069,EQ-0022,T-013,2024-06-27,Corrective,Low,Completed,1.17,0.98,64.51,860.0,924.51
MO-00067,N-00070,EQ-0033,T-006,2026-06-04,Corrective,High,Completed,2.31,5.4,73.88,490.0,563.88
MO-00068,N-00071,EQ-0095,T-021,2026-02-14,Preventive,Medium,Completed,0.57,0.0,23.92,0.0,23.92
MO-00069,N-00072,EQ-0047,T-017,2025-02-19,Preventive,Medium,Completed,0.6,0.0,33.09,0.0,33.09
MO-00070,N-00073,EQ-0097,T-012,2024-03-12,Preventive,Medium,Completed,3.64,0.0,116.33,426.0,542.33
MO-00071,N-00074,EQ-0013,T-010,2025-01-17,Corrective,Medium,Closed,2.46,1.45,135.18,0.0,135.18
MO-00072,N-00075,EQ-0038,T-013,2025-12-23,Corrective,Medium,Completed,5.18,2.25,284.8,609.0,893.8
MO-00073,N-00077,EQ-0048,T-002,2026-05-25,Corrective,Medium,Closed,5.86,9.11,245.94,0.0,245.94
MO-00074,N-00079,EQ-0057,T-028,2024-09-21,Corrective,High,Closed,1.12,9.73,35.75,595.0,630.75
MO-00075,N-00080,EQ-0044,T-026,2025-10-05,Preventive,Medium,Completed,2.16,0.0,118.67,210.0,328.67
MO-00076,N-00081,EQ-0032,T-029,2024-05-25,Corrective,Low,Open,2.84,4.8,156.14,130.0,286.14
MO-00077,N-00082,EQ-0054,T-010,2025-08-27,Corrective,Medium,Closed,7.87,20.61,432.69,675.0,1107.69
MO-00078,N-00083,EQ-0018,T-029,2025-09-07,Corrective,High,Completed,3.16,6.63,173.95,0.0,173.95
MO-00079,N-00084,EQ-0049,T-025,2025-04-13,Corrective,High,Completed,2.81,14.4,89.95,704.0,793.95
MO-00080,N-00086,EQ-0035,T-007,2025-10-05,Corrective,Medium,Completed,4.29,6.06,180.35,221.0,401.35
